,score,parameters
0,-0.21379137989261504,eps:0.1 min_sample :2
0,-0.21379137989261504,eps:0.1 min_sample :2
0,-0.21379137989261504,eps:0.1 min_sample :2
0,-0.21379137989261504,eps:0.1 min_sample :2
0,-0.21379137989261504,eps:0.1 min_sample :2
0,-0.21379137989261504,eps:0.1 min_sample :2
0,-0.21379137989261504,eps:0.2 min_sample :2
0,-0.21379137989261504,eps:0.2 min_sample :2
0,-0.21379137989261504,eps:0.2 min_sample :2
0,-0.21379137989261504,eps:0.2 min_sample :2
0,-0.21379137989261504,eps:0.2 min_sample :2
0,-0.21379137989261504,eps:0.2 min_sample :2
0,-0.21379137989261504,eps:0.2 min_sample :2
0,-0.21379137989261504,eps:0.2 min_sample :2
0,-0.21379137989261504,eps:0.2 min_sample :2
0,-0.21379137989261504,eps:0.2 min_sample :2
0,-0.21379137989261504,eps:0.3 min_sample :2
0,-0.21379137989261504,eps:0.3 min_sample :2
0,-0.21379137989261504,eps:0.3 min_sample :2
0,-0.21379137989261504,eps:0.3 min_sample :2
0,-0.21379137989261504,eps:0.3 min_sample :2
0,-0.21379137989261504,eps:0.3 min_sample :2
0,-0.21379137989261504,eps:0.3 min_sample :2
0,-0.21379137989261504,eps:0.3 min_sample :2
0,-0.21379137989261504,eps:0.3 min_sample :2
0,-0.21379137989261504,eps:0.3 min_sample :2
0,-0.21379137989261504,eps:0.4 min_sample :2
0,-0.21379137989261504,eps:0.4 min_sample :2
0,-0.21379137989261504,eps:0.4 min_sample :2
0,-0.21379137989261504,eps:0.4 min_sample :2
0,-0.21379137989261504,eps:0.4 min_sample :2
0,-0.21379137989261504,eps:0.4 min_sample :2
0,-0.21379137989261504,eps:0.4 min_sample :2
0,-0.21379137989261504,eps:0.4 min_sample :2
0,-0.21379137989261504,eps:0.4 min_sample :2
0,-0.21379137989261504,eps:0.4 min_sample :2
0,-0.21379137989261504,eps:0.5 min_sample :2
0,-0.21379137989261504,eps:0.5 min_sample :2
0,-0.21379137989261504,eps:0.5 min_sample :2
0,-0.32847879524821477,eps:0.5 min_sample :2
0,-0.32847879524821477,eps:0.5 min_sample :2
0,-0.32869161185677714,eps:0.5 min_sample :2
0,-0.32869161185677714,eps:0.5 min_sample :2
0,-0.32869161185677714,eps:0.5 min_sample :2
0,-0.35249736664486825,eps:0.5 min_sample :2
0,-0.35249736664486825,eps:0.5 min_sample :2
0,-0.35249736664486825,eps:0.6 min_sample :2
0,-0.35249736664486825,eps:0.6 min_sample :2
0,-0.35249736664486825,eps:0.6 min_sample :2
0,-0.35088731358587744,eps:0.6 min_sample :2
0,-0.35088731358587744,eps:0.6 min_sample :2
0,-0.35088731358587744,eps:0.6 min_sample :2
0,-0.3419568741537876,eps:0.6 min_sample :2
0,-0.14003012165651132,eps:0.6 min_sample :3
0,-0.3389116405439723,eps:0.6 min_sample :2
