,score,parameters
0,-0.42989595061659625,eps:0.2 min_sample :2
0,-0.45357251975947327,eps:0.2 min_sample :2
0,-0.45357251975947327,eps:0.2 min_sample :2
0,-0.45357251975947327,eps:0.2 min_sample :2
0,-0.4638568555034975,eps:0.2 min_sample :2
0,-0.4619677108888765,eps:0.2 min_sample :2
0,-0.4301656127252652,eps:0.2 min_sample :3
0,-0.4633635000404803,eps:0.2 min_sample :2
0,-0.4344262113906894,eps:0.2 min_sample :3
0,-0.4282404282452343,eps:0.2 min_sample :4
0,-0.4506243073199741,eps:0.3 min_sample :2
0,-0.45670920196514864,eps:0.3 min_sample :3
0,-0.4308653957439418,eps:0.3 min_sample :4
0,-0.4552009033840992,eps:0.3 min_sample :2
0,-0.45305775425411726,eps:0.3 min_sample :3
0,-0.457908787045076,eps:0.3 min_sample :4
0,-0.44064491453324517,eps:0.3 min_sample :2
0,-0.44138741452521674,eps:0.3 min_sample :3
0,-0.44419948243794294,eps:0.3 min_sample :4
0,-0.4168834306088822,eps:0.3 min_sample :2
0,-0.4308582893000614,eps:0.3 min_sample :3
0,-0.4386683604546692,eps:0.3 min_sample :4
0,-0.4063269185056286,eps:0.3 min_sample :2
0,-0.40728934284410534,eps:0.3 min_sample :3
0,-0.42618141067428633,eps:0.3 min_sample :4
0,-0.39982351004137345,eps:0.3 min_sample :2
0,-0.3735011831259961,eps:0.3 min_sample :3
0,-0.41588811370479767,eps:0.3 min_sample :4
0,-0.3928203261488378,eps:0.3 min_sample :2
0,-0.38266030172169424,eps:0.3 min_sample :3
0,-0.4016114797344824,eps:0.3 min_sample :4
0,-0.3791986635910085,eps:0.3 min_sample :2
0,-0.3438488477470661,eps:0.3 min_sample :3
0,-0.34685791891788753,eps:0.3 min_sample :4
0,-0.3782864317980706,eps:0.3 min_sample :2
0,-0.32922657436139124,eps:0.3 min_sample :3
0,-0.33837628127711394,eps:0.3 min_sample :4
0,-0.3678443551115038,eps:0.3 min_sample :2
0,-0.23131891424337214,eps:0.3 min_sample :3
0,-0.3196031575806376,eps:0.3 min_sample :4
0,-0.3428175029165549,eps:0.4 min_sample :2
0,-0.26169364578915283,eps:0.4 min_sample :3
0,-0.2863543361320229,eps:0.4 min_sample :4
0,-0.3309702236187493,eps:0.4 min_sample :2
0,-0.2515154829342364,eps:0.4 min_sample :3
0,-0.08529678596006578,eps:0.4 min_sample :4
0,-0.30391958475313563,eps:0.4 min_sample :2
0,-0.293331998874792,eps:0.4 min_sample :3
0,-0.24957118479493323,eps:0.4 min_sample :4
0,-0.290601463332944,eps:0.4 min_sample :2
0,-0.23191169432078595,eps:0.4 min_sample :3
0,-0.2319204749945221,eps:0.4 min_sample :4
0,-0.2838095357600418,eps:0.4 min_sample :2
0,-0.22196087442521414,eps:0.4 min_sample :3
0,-0.21677640520478025,eps:0.4 min_sample :4
0,-0.26802981282251354,eps:0.4 min_sample :2
0,-0.2155071498609738,eps:0.4 min_sample :3
0,-0.19998501578902264,eps:0.4 min_sample :4
0,-0.26581858075902615,eps:0.4 min_sample :2
0,-0.08124040089167502,eps:0.4 min_sample :3
0,0.0770065754173846,eps:0.4 min_sample :4
0,-0.2611460895811049,eps:0.4 min_sample :2
0,-0.07421369423146251,eps:0.4 min_sample :3
0,0.09746952308255334,eps:0.4 min_sample :4
0,-0.24617586152059343,eps:0.4 min_sample :2
0,-0.06746937006932067,eps:0.4 min_sample :3
0,0.11452172787644105,eps:0.4 min_sample :4
0,-0.20279924603309968,eps:0.4 min_sample :2
0,-0.043677412548324177,eps:0.4 min_sample :3
0,0.1410064230442948,eps:0.4 min_sample :4
0,-0.06793031250867698,eps:0.5 min_sample :2
0,0.1975997351489909,eps:0.5 min_sample :3
0,0.17316780993162112,eps:0.5 min_sample :4
0,-0.1298564774744127,eps:0.5 min_sample :2
0,-0.11817309016816055,eps:0.5 min_sample :3
0,0.21858754939809638,eps:0.5 min_sample :4
0,-0.200504411994861,eps:0.5 min_sample :2
0,-0.11567023346071392,eps:0.5 min_sample :3
0,0.23788929117923954,eps:0.5 min_sample :4
0,-0.1260127269474601,eps:0.5 min_sample :2
0,0.2550897925865032,eps:0.5 min_sample :3
0,0.2550897925865032,eps:0.5 min_sample :4
0,-0.12334767823918957,eps:0.5 min_sample :2
0,0.26086447011463,eps:0.5 min_sample :3
0,0.26086447011463,eps:0.5 min_sample :4
0,-0.12155316131878718,eps:0.5 min_sample :2
0,0.2637677177498311,eps:0.5 min_sample :3
0,0.2637677177498311,eps:0.5 min_sample :4
0,0.0392501397672734,eps:0.5 min_sample :2
0,0.283988430248514,eps:0.5 min_sample :3
0,0.27832030755822273,eps:0.5 min_sample :4
0,0.050564629130642934,eps:0.5 min_sample :2
0,0.3018906361817413,eps:0.5 min_sample :3
0,0.2961634782310773,eps:0.5 min_sample :4
0,0.05306043526859911,eps:0.5 min_sample :2
0,0.30506595101265743,eps:0.5 min_sample :3
0,0.29932749567906314,eps:0.5 min_sample :4
0,0.056422895324149104,eps:0.5 min_sample :2
0,0.31056722409035037,eps:0.5 min_sample :3
0,0.30480370301449206,eps:0.5 min_sample :4
0,0.0616945763269889,eps:0.6 min_sample :2
0,0.3187828645787939,eps:0.6 min_sample :3
0,0.31302485179198447,eps:0.6 min_sample :4
0,-0.014376599029492095,eps:0.6 min_sample :2
0,0.3236974177744278,eps:0.6 min_sample :3
0,0.3179116804657777,eps:0.6 min_sample :4
0,-0.013827570781233346,eps:0.6 min_sample :2
0,0.3332964104952489,eps:0.6 min_sample :3
0,0.3283514283660608,eps:0.6 min_sample :4
0,0.03952565895060433,eps:0.6 min_sample :2
0,0.34878188671577826,eps:0.6 min_sample :3
0,0.3393897709317602,eps:0.6 min_sample :4
0,0.0400053533281045,eps:0.6 min_sample :2
